Sa. 01.10.2022,11:00,Plänterwald 17  12435 Berlin, VfB Kiefholz IV,RSV Eintracht II
Sa. 08.10.2022,15:00,Kohlfurter Straße 20  10999 Berlin - Kreuzberg, BC Matchpoint Berlin II,VfB Kiefholz IV
Sa. 15.10.2022,11:00,Plänterwald 17  12435 Berlin, VfB Kiefholz IV,BG Neukölln IV
So. 16.10.2022,14:00,Kohlfurter Straße 20  10999 Berlin - Kreuzberg, BC Eintracht Südring II,VfB Kiefholz IV
Sa. 19.11.2022,11:00,Plänterwald 17  12435 Berlin, VfB Kiefholz IV,TSV Spandau II
So. 11.12.2022,14:00,Plänterwald 17  12435 Berlin, VfB Kiefholz IV,SG ProSport...ndorf VIII
Fr. 16.12.2022,19:00,Lützowstraße 83-85  10785 Berlin - Tiergarten, TSV GutsMuths II,VfB Kiefholz IV
Sa. 14.01.2023,14:00,Im Kamp 7  14532 Kleinmachnow, RSV Eintracht II,VfB Kiefholz IV
So. 15.01.2023,14:00,Plänterwald 17  12435 Berlin, VfB Kiefholz IV,BC Matchpoint Berlin II
So. 22.01.2023,10:00,Hasenhegerweg 12-18  12353 Berlin - Buckow, BG Neukölln IV,VfB Kiefholz IV
Sa. 11.02.2023,11:00,Plänterwald 17  12435 Berlin, VfB Kiefholz IV,BC Eintracht Südring II
So. 26.02.2023,10:00,Nonnendammallee 140/143  13599 Berlin - Spandau, TSV Spandau II,VfB Kiefholz IV
Fr. 03.03.2023,19:00,Hannoversche Str. 20  10115 Berlin - Mitte, SG ProSport...ndorf VIII,VfB Kiefholz IV
Sa. 18.03.2023,11:00,Plänterwald 17  12435 Berlin, VfB Kiefholz IV,TSV GutsMuths II
