undefined,undefined,undefined
10,20,Saimir, Fadi Ali
20,10,Randhawa, Guntaj
30,40,Ba, Renruo
40,30,Choochartpong, Tapana
50,50,Jones, David
60,110,Chintanippu, Sandan
70,120,Godara, Vishnu
80,150,Guan, Yufeng
90,130,Lee, Jia Jian
100,70,Dassanayake, Don Eranda Gayan
110,90,McGregor, Scott
120,100,Reid, Matthew
130,180,Bhat, Ishan
140,210,Ma, Quanshan
150,80,Chandra Mohan, Vignesh
160,60,Sadanandan, Anish
165,115,Timothy, Neshric
170,170,Sabrowski, Adrian
180,220,Wu, Victor King Ching
190,200,Kovacevic, Darko
200,140,Sinlaparatsamee, Warayut
210,160,Gollnow, Thorsten
220,190,Kada, Sri Sai Rahul
230,250,Tripathi, Tanay Kumar
240,230,Köppen, Christoph
250,240,Meenakshisundaram, Balasubramanyn
260,260,Raju, Febin
270,290,Bendyk, Ingo
280,270,Hogarti, Manoj
290,280,Lin, Wen-Huang
300,300,Senthil Kumar, Subramanian
310,310,Addula, Sidharth
320,400,Kahn, Khalid Ijaz
330,350,Kumar, Gaurav
335,335,Tokarchuk, Mykola
340,340,Bauer, Denis
350,330,Hossain, Md Sakhawat
360,360,Richardson, Christian
370,320,Thomas, Patrick
380,380,Kick, Thomas
390,390,Lamer, Marcus
395,375,Puthur Joju, Smijo
400,420,Pixa, Etienne
410,430,Jarocki, Jakob
420,370,Schubert, Dirk
430,410,Hongxiang, Liu
440,440,Waleschkowski, Guido
450,460,Schmid, Marcus
460,470,Turzer, Henrik
470,450,Sankaran, Banu
480,480,Bedi, Sandeep
490,490,Kumar, Saurabh
500,500,Vargheese, Benson
510,510,Konduru, Prathisrihas Reddy
520,520,Miraj, Muhammad Salman
