undefined,undefined,undefined
10,40,Chow, San San
20,30,Hinsching, Meriel
30,10,Tan, Melody
40,20,Chen, Jingjun
50,50,Büttner, Lisa
60,80,Hovorukhina, Maryna
70,100,Ma, Stephanie Wing Yan
80,90,Hoffmann, Julia
90,60,Hanse, Mai
100,70,Meiser, Monika
110,150,Engel, Melina
120,130,Suksamran, Sitanun
130,120,Kranciukaite, Milda
140,140,Francisco, Ma Rhoda
150,170,Mazhar, Momna
160,160,Joshi, Tanvi
170,180,Lee, Yuhan
175,175,Arya, Sakhi
180,190,Jhelum, Hina
190,220,Huang, Siyu
200,110,Cons, Lily
210,210,Sahoo, Sagarika
220,200,Tan, Yi Ling Elaine
230,230,Teoh, Ee Na
240,240,Ching, Yan Ming
250,250,Biswas, Satabdi
260,260,Ruan, Yulong
270,270,Mouawad, Russelle
280,280,Haase, Ramona
290,290,Damanik, Hani-Hanaya
300,300,Jayasuriya, Kalana
310,310,Jayasuriya, Kasuni
320,320,Kale, Pragya
